address,area,contact_no,coordinates,timing,directions
"No D 3, Block 1, Central Market 2, Lajpat Nagar, South East Delhi, Delhi, 110024"," Lajpat Nagar, South East Delhi",7872478724,"28.568548,77.242454",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.568548,77.242454"
"Shop No 610 And 611, Ravi Das Marg, Main Bazar Road, Guru Ram Das Nagar, Laxmi Nagar, New Delhi, Delhi, 110092"," Laxmi Nagar, New Delhi",0844 8982 285 ,"28.6365793,77.2790923",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.6365793,77.2790923"
"C 7, Jyoti Nagar West, North Chajjupur, Block A, Shahdara, New Delhi, Delhi, 110032"," Shahdara, New Delhi",0844 8982 285 ,"28.689468,77.2880388",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.689468,77.2880388"
"No E/561/A & E/561B, Palam Extension, Dwarka, New Delhi, Delhi, 110075"," Dwarka, New Delhi",0931 3699 995 ,"28.583891,77.071784",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.583891,77.071784"
"Virendar Nagar, Block B, Sant Nagar, 100 feet Road, near Axis Bank, Burari, North Delhi, Delhi, 110084"," Burari, North Delhi",0931 3699 995 ,"28.7427944,77.1980152",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.7427944,77.1980152"
"Raghuveer Complex, Main Dadri Road, Bhangel, Noida, Gautam Buddha Nagar, Uttar Pradesh, 201304"," Noida, Gautam Buddha Nagar",0931 0965 120 ,"28.53891,77.38914",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.53891,77.38914"
"Main Road, Gandhi Nagar, Near Snapdeal, Nehru Nagar, Ghaziabad, Uttar Pradesh, 201001"," Nehru Nagar, Ghaziabad",0931 0965 120 ,"28.656525,77.436216",11:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.656525,77.436216"
"Ground Floor, Kali Mandir, Opposite Old Nit Bus Stand, New Industrial Town, Faridabad, Haryana, 121001"," New Industrial Town, Faridabad",0704 2989 955 ,"28.3839105,77.2888889",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.3839105,77.2888889"
"Plot No 63, Block A, Pana Udyan, Narela, North West Delhi, Delhi, 110040"," Narela, North West Delhi",0704 2989 955 ,"28.852096,77.088581",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.852096,77.088581"
"Mangla Tower, Main Badshahpur Sohna Road, Sector 66, Near Mamta Sweets, Badshahpur, Gurugram, Haryana, 122101"," Badshahpur, Gurugram",0928 9551 045 ,"28.390745,77.049525",10:00 AM to 10:00 PM (Closing Soon),"https://www.google.com/maps/dir/?api=1&origin=&destination=28.390745,77.049525"
